date,num_projects,workload_units,num_eeq_projects,num_epc_projects,num_no_type_projects,eeq_workload,epc_workload,total_workload,region,role,[ESO] Stage,assigned_status
2022-12-01,1,1,0,0,1,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2022-12-02,1,1,0,0,1,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2022-12-29,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2022-12-30,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2022-12-31,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-01,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-02,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-03,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-04,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-05,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-06,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-07,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-08,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-09,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-10,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-11,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-12,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-13,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-14,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-15,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-16,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-17,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-18,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-19,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-20,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-21,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-22,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-23,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-24,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-25,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-26,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-27,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-28,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-29,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-30,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-01-31,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-02-01,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-02-02,2,2,0,0,2,0.0,0.0,0.0,no_region,no_role,G2 - Delivery,unassigned
2023-03-02,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-03,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-04,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-05,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-06,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-07,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-08,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-09,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-10,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-11,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-12,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-13,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-14,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-15,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-16,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-17,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-18,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-19,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-20,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-21,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-22,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-23,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-24,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-25,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-26,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-27,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-28,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-29,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-30,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-03-31,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-01,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-02,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-03,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-04,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-05,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-06,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-07,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-08,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-09,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-10,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-11,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-12,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-13,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-14,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-15,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-16,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-17,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-18,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-19,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-20,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-21,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-22,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-23,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-24,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-25,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-26,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-27,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-28,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-29,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-04-30,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-01,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-02,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-03,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-04,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-05,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-06,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-07,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-08,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-09,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-10,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-11,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-12,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-13,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-14,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-15,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-16,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-17,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-18,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-19,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-20,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-21,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-22,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-23,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-24,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-25,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-26,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-27,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-28,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-29,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-30,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-05-31,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-01,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-02,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-03,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-04,1,1,0,0,1,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-05,2,2,0,0,2,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-06,2,2,0,0,2,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-07,2,2,0,0,2,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-08,2,2,0,0,2,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-09,2,2,0,0,2,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-10,2,2,0,0,2,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-11,2,2,0,0,2,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-12,2,2,0,0,2,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-13,2,2,0,0,2,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-14,2,2,0,0,2,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-15,2,2,0,0,2,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-16,2,2,0,0,2,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-17,2,2,0,0,2,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-18,2,2,0,0,2,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-19,2,2,0,0,2,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-20,2,2,0,0,2,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-21,2,2,0,0,2,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-22,2,2,0,0,2,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
2023-06-23,2,2,0,0,2,0.0,0.0,0.0,no_region,Commissioning Manager,G2 - Delivery,unassigned
