date,region,role,assigned_status,eeq_workload_A,eeq_workload_G2 - Delivery,epc_workload_A,epc_workload_G2 - Delivery,num_eeq_projects_A,num_eeq_projects_G2 - Delivery,num_epc_projects_A,num_epc_projects_G2 - Delivery,num_no_type_projects_A,num_no_type_projects_G2 - Delivery,num_projects_A,num_projects_G2 - Delivery,total_workload_A,total_workload_G2 - Delivery,workload_units_A,workload_units_G2 - Delivery,workload_units_G2+A,num_eeq_projects_G2+A,num_epc_projects_G2+A,num_no_type_projects_G2+A,eeq_workload_G2+A,epc_workload_G2+A,num_projects_G2+A,total_workload_G2+A,available_workload,available_workload_minus_total_workload_G2 - Delivery,available_workload_minus_total_workload_A,available_workload_minus_total_workload_G2+A,available_workload_minus_total_workload_G2+A_dummy
2022-01-01,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,1
2022-01-02,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,-2
2022-01-03,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,5
2022-01-04,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,2
2022-01-05,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,-1
2022-01-06,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,1
2022-01-07,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,4
2022-01-08,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,-3
2022-01-09,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,1
2022-01-10,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,5
2022-01-11,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,5
2022-01-12,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,2
2022-01-13,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,-1
2022-01-14,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,-2
2022-01-15,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,2
2022-01-16,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,2
2022-01-17,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,-3
2022-01-18,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,0
2022-01-19,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,-1
2022-01-20,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,-4
2022-01-21,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,2
2022-01-22,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,0
2022-01-23,MEA,Solution Engineer,unassigned,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,0.3,0.29999999999999993,-5.551115123125783e-17,0.29999999999999993,-5.551115123125783e-17,-4
